scene,freq,trial_idx,y_off_mm,fail,vel_mm_s,lat_cm,yaw_deg,yaw_pen,tumble,rank_cost
scene2,50.0,8,7.05,FALSE,25.93,0.097,82.6,0.0631,0.0768,0.0103
scene2,50.0,9,5.92,FALSE,-8.07,1.277,32.7,0.0000,0.0874,0.1277
scene2,50.0,10,2.78,FALSE,18.35,0.690,164.4,1.3453,0.1729,1.4265
scene2,50.0,11,5.08,FALSE,18.30,0.460,47.8,0.0000,0.1070,0.0155
scene2,50.0,12,3.48,FALSE,37.17,0.164,72.6,0.0197,0.0382,-0.1280
scene2,50.0,13,1.80,FALSE,8.68,1.252,149.7,0.9934,0.0429,0.9928
scene2,50.0,14,2.97,FALSE,17.81,1.210,143.0,0.8509,0.0521,0.8140
scene2,50.0,15,-8.63,FALSE,19.41,1.345,160.8,1.2553,0.0375,1.1957
scene2,50.0,16,-1.06,FALSE,41.78,0.692,43.1,0.0000,0.0741,-0.1349
scene2,50.0,17,9.71,FALSE,19.64,0.340,133.7,0.6704,0.0979,0.6700
scene2,50.0,18,-3.92,FALSE,0.18,1.164,85.4,0.0795,0.1314,0.2101
scene2,50.0,19,-1.99,FALSE,14.32,0.085,34.7,0.0000,0.0227,-0.0488
scene4,10.0,0,3.04,FALSE,10.26,1.052,171.5,1.5339,0.0000,1.4826
scene4,10.0,1,9.57,FALSE,59.03,0.027,3.0,0.0000,0.0022,-0.2930
scene4,10.0,2,-9.86,FALSE,39.12,0.563,128.7,0.5824,0.0000,0.3868
scene4,10.0,3,-5.21,FALSE,36.67,0.333,177.4,1.7017,0.1270,1.6453
scene4,10.0,4,4.87,FALSE,71.89,1.287,2.9,0.0000,0.0054,-0.3541
scene4,10.0,5,-0.70,FALSE,6.94,1.106,52.0,0.0000,0.0585,0.0238
scene4,10.0,6,-10.99,FALSE,39.17,1.774,13.6,0.0000,0.0000,-0.1959
scene4,10.0,7,-4.59,FALSE,51.07,0.093,169.0,1.4663,0.0097,1.2206
scene4,10.0,8,-0.49,FALSE,31.16,0.697,56.5,0.0000,0.0260,-0.1298
scene4,10.0,9,-6.25,FALSE,2.85,1.276,28.1,0.0000,0.1247,0.1105
scene4,10.0,10,-5.61,FALSE,5.80,0.076,148.1,0.9588,0.0000,0.9298
scene4,10.0,11,9.28,FALSE,41.44,0.157,6.9,0.0000,0.0000,-0.2072
scene4,10.0,12,7.66,FALSE,26.30,0.122,110.6,0.3158,0.0243,0.2086
scene4,10.0,13,5.10,FALSE,22.03,0.854,9.7,0.0000,0.1544,0.0442
scene4,10.0,14,-10.59,FALSE,-2.72,1.005,164.0,1.3359,0.0000,1.3495
scene4,10.0,15,-5.33,FALSE,5.77,0.033,135.3,0.7005,0.0000,0.6717
scene4,10.0,16,-10.27,FALSE,40.75,1.460,29.0,0.0000,0.0000,-0.2037
scene4,10.0,17,-2.89,FALSE,35.91,0.263,140.6,0.8013,0.0738,0.6955
scene4,10.0,18,-1.72,FALSE,-2.82,0.352,141.1,0.8114,0.0011,0.8266
scene4,10.0,19,-8.32,FALSE,15.95,1.119,178.7,1.7405,0.1584,1.8192
