,mass_A,,,,mass_C,,,,mass_B,,mass_C
t,x,y,vx,vy,x,y,vx,vy,θ,ω,θ
2.55E-02,1.327197E-01,3.740114E-03,2.823988E-02,-3.82071E-03,1.391517E-01,3.940297E-03,2.921615E-03,7.445413E-02,1.257735E+02,1.485109E+04,1.782645E+00
2.6E-02,1.327383E-01,3.741223E-03,2.608644E-02,-1.623685E-02,1.391677E-01,3.984587E-03,1.14959E-01,4.098885E-02,1.330839E+02,1.468049E+04,2.167709E+00
2.65E-02,1.327458E-01,3.723877E-03,-7.690609E-03,-3.708148E-02,1.392666E-01,3.981286E-03,1.683347E-01,-9.495398E-04,1.40454E+02,1.853774E+04,2.260559E+00
2.7E-02,1.327306E-01,3.704141E-03,-2.604263E-02,-4.914585E-02,1.39336E-01,3.983637E-03,1.133837E-01,2.045645E-02,1.516217E+02,2.253539E+04,2.422914E+00
2.75E-02,1.327197E-01,3.674731E-03,-6.322847E-03,-4.985553E-02,1.3938E-01,4.001742E-03,9.155971E-02,-9.832941E-03,1.629893E+02,2.426943E+04,2.810889E+00
2.8E-02,1.327243E-01,3.654286E-03,-6.649015E-02,6.559115E-02,1.394276E-01,3.973805E-03,1.280731E-01,-1.956441E-02,1.758911E+02,2.333734E+04,2.728981E+00
2.85E-02,1.326532E-01,3.740322E-03,-1.149017E-01,1.275029E-01,1.395081E-01,3.982178E-03,1.550193E-01,2.516822E-02,1.863267E+02,1.801487E+04,2.020695E+00
2.9E-02,1.326094E-01,3.781789E-03,-1.073436E-01,6.248105E-02,1.395826E-01,3.998973E-03,1.217255E-01,6.846751E-02,1.93906E+02,2.104792E+04,1.783921E+00
2.95E-02,1.325459E-01,3.802803E-03,-8.235299E-02,2.42515E-02,1.396298E-01,4.050645E-03,1.767261E-01,4.832225E-02,2.073746E+02,2.548711E+04,2.003766E+00
3E-02,1.32527E-01,3.80604E-03,4.747623E-03,-8.330951E-03,1.397594E-01,4.047295E-03,1.453214E-01,-1.100696E-01,2.193931E+02,2.381079E+04,1.910557E+00
3.05E-02,1.325506E-01,3.794472E-03,5.747536E-02,-2.219715E-02,1.397751E-01,3.940576E-03,-8.368638E-02,-1.176709E-01,2.311854E+02,3.197931E+04,1.158554E+00
3.1E-02,1.325845E-01,3.783843E-03,3.928773E-02,-1.705626E-02,1.396757E-01,3.929624E-03,-1.990699E-01,-5.117354E-03,2.513724E+02,3.576526E+04,1.177729E+00
3.15E-02,1.325899E-01,3.777416E-03,3.63792E-02,-2.036279E-02,1.395761E-01,3.935458E-03,-2.048849E-01,1.176998E-02,2.669507E+02,3.490108E+04,1.29594E+00
3.2E-02,1.326209E-01,3.76348E-03,6.030875E-02,-3.47928E-02,1.394708E-01,3.941394E-03,-7.289408E-02,1.142183E-01,2.862735E+02,3.697571E+04,1.487821E+00
3.25E-02,1.326502E-01,3.742623E-03,9.307364E-02,-2.71418E-02,1.395032E-01,4.049677E-03,8.863985E-02,2.011585E-01,3.039264E+02,3.509788E+04,2.565487E+00
3.3E-02,1.32714E-01,3.736339E-03,9.295231E-02,-1.41938E-02,1.395594E-01,4.142553E-03,8.838247E-02,6.817754E-02,3.213713E+02,4.583398E+04,3.395988E+00
