,mass_A,,,,mass_C,,,,mass_B,,mass_C,,,,
t,x,y,vx,vy,x,y,vx,vy,θ,ω,x,y,vx,vy,θ
7E-02,1.256062E-01,3.213049E-03,-1.873726E-01,1.968857E-02,1.323871E-01,3.129938E-03,-2.171974E-01,2.951618E-02,4.458579E+02,5.272001E+03,1.323871E-01,3.129938E-03,-2.171974E-01,2.951618E-02,1.354353E+00
7.1E-02,1.25414E-01,3.221965E-03,-2.31851E-01,4.895534E-03,1.321902E-01,3.142022E-03,-2.036708E-01,2.670319E-02,4.511145E+02,4.215877E+03,1.321902E-01,3.142022E-03,-2.036708E-01,2.670319E-02,1.361605E+00
7.2E-02,1.251425E-01,3.22284E-03,-2.408271E-01,2.869118E-03,1.319797E-01,3.183344E-03,-2.165631E-01,3.002496E-02,4.542896E+02,3.909219E+03,1.319797E-01,3.183344E-03,-2.165631E-01,3.002496E-02,1.381703E+00
7.3E-02,1.249324E-01,3.227703E-03,-2.127881E-01,1.747873E-03,1.31757E-01,3.202072E-03,-2.078408E-01,-1.235987E-03,4.589329E+02,8.515016E+03,1.31757E-01,3.202072E-03,-2.078408E-01,-1.235987E-03,1.392177E+00
7.4E-02,1.247169E-01,3.226336E-03,-2.304328E-01,-7.307559E-03,1.315634E-01,3.185909E-03,-1.846311E-01,1.181909E-02,4.713197E+02,6.723745E+03,1.315634E-01,3.185909E-03,-1.846311E-01,1.181909E-02,1.387191E+00
7.5E-02,1.244715E-01,3.213088E-03,-2.20152E-01,-5.091173E-03,1.313878E-01,3.22571E-03,-2.049837E-01,1.096313E-02,4.723804E+02,1.013901E+03,1.313878E-01,3.22571E-03,-2.049837E-01,1.096313E-02,1.40639E+00
7.6E-02,1.242766E-01,3.216153E-03,-2.077936E-01,1.330335E-03,1.311534E-01,3.207835E-03,-2.334513E-01,-3.51788E-02,4.733475E+02,1.161737E+03,1.311534E-01,3.207835E-03,-2.334513E-01,-3.51788E-02,1.401098E+00
7.7E-02,1.240559E-01,3.215749E-03,-2.307243E-01,2.237941E-04,1.309209E-01,3.155353E-03,-2.137423E-01,-8.682098E-03,4.747039E+02,4.010188E+03,1.309209E-01,3.155353E-03,-2.137423E-01,-8.682098E-03,1.380631E+00
7.8E-02,1.238151E-01,3.216601E-03,-2.245065E-01,-4.119894E-03,1.307259E-01,3.190471E-03,-2.160551E-01,-6.711321E-03,4.813678E+02,3.782736E+03,1.307259E-01,3.190471E-03,-2.160551E-01,-6.711321E-03,1.398072E+00
7.9E-02,1.236069E-01,3.207509E-03,-2.400106E-01,-1.921166E-03,1.304888E-01,3.14193E-03,-2.266261E-01,-5.11538E-02,4.822694E+02,3.027245E+03,1.304888E-01,3.14193E-03,-2.266261E-01,-5.11538E-02,1.379311E+00
8E-02,1.233351E-01,3.212759E-03,-2.450744E-01,-1.253036E-02,1.302727E-01,3.088164E-03,-1.936114E-01,-3.565574E-02,4.874223E+02,4.846206E+03,1.302727E-01,3.088164E-03,-1.936114E-01,-3.565574E-02,1.357964E+00
8.1E-02,1.23117E-01,3.181943E-03,-2.50212E-01,-3.513334E-03,1.301018E-01,3.070113E-03,-1.985621E-01,1.370653E-02,4.919618E+02,5.525082E+03,1.301018E-01,3.070113E-03,-1.985621E-01,1.370653E-02,1.351802E+00
8.2E-02,1.228347E-01,3.205732E-03,-2.519264E-01,2.539153E-03,1.298755E-01,3.115577E-03,-1.953415E-01,3.390975E-02,4.984725E+02,5.518899E+03,1.298755E-01,3.115577E-03,-1.953415E-01,3.390975E-02,1.374202E+00
8.3E-02,1.226131E-01,3.187021E-03,-2.665097E-01,-2.289625E-02,1.297093E-01,3.139323E-03,-1.887994E-01,4.561863E-03,5.029996E+02,6.190905E+03,1.297093E-01,3.139323E-03,-1.887994E-01,4.561863E-03,1.386445E+00
8.4E-02,1.222991E-01,3.159794E-03,-2.679431E-01,-1.603248E-02,1.294954E-01,3.124555E-03,-2.13107E-01,-2.437686E-02,5.108543E+02,6.716516E+03,1.294954E-01,3.124555E-03,-2.13107E-01,-2.437686E-02,1.382204E+00
8.5E-02,1.220772E-01,3.154956E-03,-2.528729E-01,-5.585831E-03,1.292831E-01,3.090569E-03,-2.015997E-01,-2.639898E-02,5.164326E+02,6.275465E+03,1.292831E-01,3.090569E-03,-2.015997E-01,-2.639898E-02,1.36942E+00
8.6E-02,1.217934E-01,3.148622E-03,-2.633273E-01,-1.55652E-02,1.290922E-01,3.071757E-03,-1.680837E-01,-2.313075E-02,5.234052E+02,7.502999E+03,1.290922E-01,3.071757E-03,-1.680837E-01,-2.313075E-02,1.363099E+00
8.7E-02,1.215506E-01,3.123826E-03,-2.504473E-01,-1.111585E-02,1.289469E-01,3.044308E-03,-2.14483E-01,5.163128E-03,5.314386E+02,7.468669E+03,1.289469E-01,3.044308E-03,-2.14483E-01,5.163128E-03,1.352445E+00
8.8E-02,1.212925E-01,3.12639E-03,-2.450223E-01,-1.642544E-02,1.286633E-01,3.082083E-03,-2.813863E-01,3.875008E-02,5.383426E+02,7.240793E+03,1.286633E-01,3.082083E-03,-2.813863E-01,3.875008E-02,1.372238E+00
8.9E-02,1.210605E-01,3.090975E-03,-2.473158E-01,-1.510221E-02,1.283842E-01,3.121808E-03,-2.789976E-01,3.41992E-03,5.459202E+02,8.027452E+03,1.283842E-01,3.121808E-03,-2.789976E-01,3.41992E-03,1.392938E+00
9E-02,1.207979E-01,3.096186E-03,-2.131756E-01,-6.432823E-04,1.281053E-01,3.088923E-03,-2.842467E-01,-2.210969E-02,5.543975E+02,9.927051E+03,1.281053E-01,3.088923E-03,-2.842467E-01,-2.210969E-02,1.38127E+00
9.1E-02,1.206342E-01,3.089688E-03,-1.876939E-01,-3.710921E-02,1.278157E-01,3.077589E-03,-2.878712E-01,9.323933E-03,5.657743E+02,1.221261E+04,1.278157E-01,3.077589E-03,-2.878712E-01,9.323933E-03,1.37932E+00
9.2E-02,1.204225E-01,3.021968E-03,-1.906836E-01,-2.773266E-02,1.275295E-01,3.107571E-03,-2.772429E-01,3.62755E-02,5.788227E+02,1.430212E+04,1.275295E-01,3.107571E-03,-2.772429E-01,3.62755E-02,1.395877E+00
9.3E-02,1.202528E-01,3.034223E-03,-1.752899E-01,1.697092E-02,1.272612E-01,3.15014E-03,-2.384835E-01,1.880782E-02,5.943785E+02,1.643839E+04,1.272612E-01,3.15014E-03,-2.384835E-01,1.880782E-02,1.417972E+00
9.4E-02,1.200719E-01,3.055909E-03,-1.703591E-01,1.262782E-02,1.270525E-01,3.145186E-03,-2.440325E-01,-5.484633E-03,6.116995E+02,1.288112E+04,1.270525E-01,3.145186E-03,-2.440325E-01,-5.484633E-03,1.418068E+00
9.5E-02,1.199121E-01,3.059479E-03,-2.07936E-01,-8.829534E-03,1.267731E-01,3.13917E-03,-2.502371E-01,-1.441263E-02,6.201408E+02,9.404473E+03,1.267731E-01,3.13917E-03,-2.502371E-01,-1.441263E-02,1.418475E+00
9.6E-02,1.19656E-01,3.03825E-03,-2.341244E-01,-2.798012E-03,1.265521E-01,3.116361E-03,-2.508307E-01,-6.228079E-03,6.305084E+02,9.090196E+03,1.265521E-01,3.116361E-03,-2.508307E-01,-6.228079E-03,1.410631E+00
9.7E-02,1.194438E-01,3.053883E-03,-2.568066E-01,1.512414E-02,1.262715E-01,3.126714E-03,-2.598399E-01,1.02812E-03,6.383212E+02,7.36852E+03,1.262715E-01,3.126714E-03,-2.598399E-01,1.02812E-03,1.418459E+00
9.8E-02,1.191424E-01,3.068499E-03,-3.005629E-01,8.985965E-03,1.260324E-01,3.118417E-03,-2.592133E-01,-1.136582E-02,6.452455E+02,6.874059E+03,1.260324E-01,3.118417E-03,-2.592133E-01,-1.136582E-02,1.417379E+00
9.9E-02,1.188427E-01,3.071854E-03,-2.769118E-01,2.997432E-03,1.25753E-01,3.103983E-03,-2.781689E-01,-8.916181E-03,6.520693E+02,7.443944E+03,1.25753E-01,3.103983E-03,-2.781689E-01,-8.916181E-03,1.413954E+00
1E-01,1.185886E-01,3.074494E-03,-2.720237E-01,1.658764E-03,1.254761E-01,3.100585E-03,-2.563139E-01,1.700424E-02,6.601333E+02,6.298467E+03,1.254761E-01,3.100585E-03,-2.563139E-01,1.700424E-02,1.415523E+00
1.01E-01,1.182987E-01,3.075172E-03,-2.873017E-01,3.195467E-03,1.252404E-01,3.137991E-03,-2.683444E-01,-4.274034E-03,6.646662E+02,5.364794E+03,1.252404E-01,3.137991E-03,-2.683444E-01,-4.274034E-03,1.435288E+00
1.02E-01,1.18014E-01,3.080884E-03,-2.660542E-01,-2.697292E-03,1.249394E-01,3.092037E-03,-2.712624E-01,-8.200907E-03,6.708629E+02,5.438414E+03,1.249394E-01,3.092037E-03,-2.712624E-01,-8.200907E-03,1.417684E+00
1.03E-01,1.177666E-01,3.069777E-03,-2.702067E-01,7.490565E-03,1.246979E-01,3.121589E-03,-2.586948E-01,3.440704E-02,6.75543E+02,4.85944E+03,1.246979E-01,3.121589E-03,-2.586948E-01,3.440704E-02,1.433998E+00
1.04E-01,1.174736E-01,3.095866E-03,-2.546333E-01,1.058399E-02,1.24422E-01,3.160851E-03,-2.925032E-01,1.296506E-02,6.805818E+02,9.885207E+03,1.24422E-01,3.160851E-03,-2.925032E-01,1.296506E-02,1.455245E+00
