,mass_A,,,,mass_C,,,,mass_B,,mass_C
t,x,y,vx,vy,x,y,vx,vy,θ,ω,θ
5.200000E-02,3.502776E-03,3.291058E-03,-4.285945E-05,3.153865E-06,-3.334497E-03,3.291058E-03,-4.574639E-05,3.154202E-06,0.000000E+00,0.000000E+00,8.975402E-08
5.300000E-02,3.502733E-03,3.291060E-03,-4.308373E-05,1.704850E-06,-3.334543E-03,3.291060E-03,-4.597904E-05,1.705949E-06,0.000000E+00,0.000000E+00,9.896175E-08
5.400000E-02,3.502690E-03,3.291063E-03,-4.313963E-05,2.968254E-06,-3.334589E-03,3.291063E-03,-4.604332E-05,2.968663E-06,0.000000E+00,0.000000E+00,1.023832E-07
5.500000E-02,3.502647E-03,3.291064E-03,-4.336919E-05,1.525331E-06,-3.334635E-03,3.291064E-03,-4.628127E-05,1.526499E-06,0.000000E+00,0.000000E+00,1.121681E-07
5.600000E-02,3.502603E-03,3.291067E-03,-4.342094E-05,2.795700E-06,-3.334681E-03,3.291067E-03,-4.634141E-05,2.796183E-06,0.000000E+00,0.000000E+00,1.162226E-07
5.700000E-02,3.502560E-03,3.291068E-03,-4.365587E-05,1.358418E-06,-3.334728E-03,3.291068E-03,-4.658476E-05,1.359659E-06,0.000000E+00,0.000000E+00,1.266202E-07
5.800000E-02,3.502516E-03,3.291071E-03,-4.370347E-05,2.635236E-06,-3.334775E-03,3.291071E-03,-4.664078E-05,2.635800E-06,0.000000E+00,0.000000E+00,1.313441E-07
5.900000E-02,3.502472E-03,3.291072E-03,-4.394388E-05,1.203180E-06,-3.334822E-03,3.291072E-03,-4.688963E-05,1.204498E-06,0.000000E+00,0.000000E+00,1.423907E-07
6.000000E-02,3.502428E-03,3.291075E-03,-4.398732E-05,2.485973E-06,-3.334868E-03,3.291075E-03,-4.694153E-05,2.486621E-06,0.000000E+00,0.000000E+00,1.478219E-07
6.100000E-02,3.502384E-03,3.291076E-03,-4.423331E-05,1.058756E-06,-3.334916E-03,3.291076E-03,-4.719599E-05,1.060157E-06,0.000000E+00,0.000000E+00,1.595551E-07
6.200000E-02,3.502340E-03,3.291078E-03,-4.427261E-05,2.347083E-06,-3.334963E-03,3.291078E-03,-4.724378E-05,2.347820E-06,0.000000E+00,0.000000E+00,1.657323E-07
6.300000E-02,3.502295E-03,3.291079E-03,-4.452428E-05,9.243496E-07,-3.335010E-03,3.291079E-03,-4.750395E-05,9.258363E-07,0.000000E+00,0.000000E+00,1.781910E-07
6.400000E-02,3.502251E-03,3.291081E-03,-4.455943E-05,2.217802E-06,-3.335058E-03,3.291081E-03,-4.754762E-05,2.218633E-06,0.000000E+00,0.000000E+00,1.851544E-07
