scene,freq,trial,seed,velocity_mps,target_mps,cot_signed,cot_abs,energy_ext_signed_J,energy_ext_abs_J,distance_m,robot_mass_kg,total_time_s,avg_power_ext_W
scene2,20.0,6,78283,0.13890468902085998,0.1131,2.3439970837706716,3.0486043898727977,0.0009783529976676248,0.0012724466528502474,0.40521004847949627,0.00010500000000000002,2.900000000000169,0.0003373631026439889
scene2,20.0,9,78286,0.14152047251075564,0.1131,2.1877092879943567,2.9102235995888863,0.0009307703501771011,0.001238167179591916,0.413042388321203,0.00010500000000000002,2.900000000000169,0.0003209552931644989
scene2,20.0,3,78280,0.143200123668547,0.1131,2.098982308720793,2.7785772559161774,0.000902018318430344,0.0011940679888520693,0.41720381668298356,0.00010500000000000002,2.900000000000169,0.0003110407994587212
scene2,30.0,1,78378,0.17932381127089336,0.1796,2.4551305645390102,3.248988623800889,0.0013273946698525085,0.001756603190044401,0.5248886356545434,0.00010500000000000002,2.900000000000169,0.0004577222999491142
scene2,30.0,8,78385,0.18008271562938444,0.1796,2.1845825717282756,2.8606799105082876,0.0011823535241186748,0.0015482751795868823,0.525436912439861,0.00010500000000000002,2.900000000000169,0.0004077081117650365
scene2,30.0,4,78381,0.17810349886908047,0.1796,2.488951340586093,3.2958692027568355,0.0013325712461223728,0.0017645907571418463,0.5197754048155183,0.00010500000000000002,2.900000000000169,0.00045950732624906726
scene2,50.0,7,78484,0.26473160636744913,0.2633,3.106391670691669,3.7811573041242,0.0025043286147698276,0.0030483150347733667,0.7826665918542859,0.00010500000000000002,2.900000000000169,0.0008635615912998902
scene2,50.0,2,78479,0.27293486455454363,0.2633,2.930847926899922,3.6625133679160933,0.002436090295803184,0.0030442429960080603,0.8069410155835097,0.00010500000000000002,2.900000000000169,0.0008400311364838076
scene2,50.0,1,78478,0.27430572840271616,0.2633,2.974756562657029,3.6822534564059106,0.0024780521514159845,0.0030674160750671304,0.808724693959651,0.00010500000000000002,2.900000000000169,0.0008545007418675311
scene4,10.0,7,78584,0.11214387678115735,0.1121,0.9644097569924458,1.5722365347038647,0.0003369817138650968,0.0005493670695722535,0.3267753089395016,0.000109,2.900000000000169,0.00011620059098795763
scene4,10.0,4,78581,0.11015285644404946,0.1121,0.9756654726377535,1.5991893179932353,0.0003348198122783368,0.0005487949325504271,0.3209332447638737,0.000109,2.900000000000169,0.00011545510768217837
scene4,10.0,9,78586,0.11002926549253626,0.1121,0.9989203567048973,1.6532403435283807,0.0003429847377595581,0.0005676490641847217,0.3211060041310414,0.000109,2.900000000000169,0.00011827059922742693
