scene,freq,trial,seed,velocity_mps,target_mps,cot,energy_ext_J,distance_m,robot_mass_kg,total_time_s,avg_power_ext_W
scene2,10.0,3,78180,0.08280039095541628,0.0832,2.238720090581884,0.0005645789691591306,0.2448311053355186,0.00010500000000000002,2.900000000000169,8.662562912629372e-05
scene2,10.0,5,78182,0.08252858214283021,0.0832,2.1653747788212905,0.0005460922859749482,0.2448356536842742,0.00010500000000000002,2.900000000000169,8.622359508842573e-05
scene2,10.0,0,78177,0.08406408875842357,0.0832,2.236844630822855,0.0005719088460898531,0.24821766634750564,0.00010500000000000002,2.900000000000169,8.483941229441797e-05
scene2,20.0,6,78283,0.11529207995551571,0.1131,3.2208638376062857,0.0011234825662178867,0.33863798070531637,0.00010500000000000002,2.900000000000169,0.0001904379207463441
scene2,20.0,5,78282,0.11947289451432352,0.1131,3.2501491000044016,0.0011705019293276027,0.3496314914548516,0.00010500000000000002,2.900000000000169,0.00019666586160954966
scene2,20.0,8,78285,0.12094885239615445,0.1131,2.937432248954101,0.0010750775176491061,0.355315059569278,0.00010500000000000002,2.900000000000169,0.0001944557395198893
scene2,30.0,2,78379,0.17770850754603634,0.1796,2.4913973936354066,0.001334244136248929,0.5199169671850004,0.00010500000000000002,2.900000000000169,0.00034046017207351635
scene2,30.0,4,78381,0.16965849365187435,0.1796,2.6865891398723316,0.0013783064184377093,0.49806522154554944,0.00010500000000000002,2.900000000000169,0.00032951190199167026
scene2,30.0,5,78382,0.16790137062301144,0.1796,2.669390900860677,0.001350781657235072,0.4912636971880673,0.00010500000000000002,2.900000000000169,0.0003339750484431036
scene2,50.0,4,78481,0.19487310792596368,0.2633,3.5544362656031714,0.002103876377041395,0.5746338156706949,0.00010500000000000002,2.900000000000169,0.0006194589665899677
scene2,50.0,7,78484,0.18863254457017928,0.2633,3.615372911219548,0.002095874263669433,0.5627996499499255,0.00010500000000000002,2.900000000000169,0.0006176830667174437
scene2,50.0,8,78485,0.18688078703680183,0.2633,3.6855003648709896,0.002096632193119773,0.5522903881356721,0.00010500000000000002,2.900000000000169,0.000624377618451864
scene4,10.0,3,78580,0.09878751543000051,0.1121,2.314877092012755,0.0007120961504061712,0.28768366010879487,0.000109,2.900000000000169,8.745570854435452e-05
scene4,10.0,1,78578,0.0965131449535097,0.1121,2.3002211558381997,0.0006912046339654955,0.2810227907314684,0.000109,2.900000000000169,8.728200401437452e-05
scene4,10.0,9,78586,0.09506303248170067,0.1121,2.349661207244309,0.0006957297304266226,0.2769107464019829,0.000109,2.900000000000169,8.737437320542226e-05
scene4,20.0,1,78678,0.18427556535278988,0.1841,2.120469920238334,0.001214641350883281,0.5356985125876761,0.000109,2.900000000000169,0.00018453571975881057
scene4,20.0,4,78681,0.18586910361470663,0.1841,2.1719741324774655,0.001257052705466799,0.5412567595392308,0.000109,2.900000000000169,0.0001821060302813318
scene4,20.0,3,78680,0.18178198326512424,0.1841,2.23651522222342,0.0012654215125113585,0.5291366574544267,0.000109,2.900000000000169,0.00018091898214290448
scene4,30.0,4,78781,0.24020536223047753,0.2747,1.6371028583092062,0.0012225681855799512,0.698395798531833,0.000109,2.900000000000169,0.0003045323216032151
scene4,30.0,2,78779,0.23033563386945327,0.2747,1.7269745332728752,0.0012378161664843468,0.670308477242846,0.000109,2.900000000000169,0.0002946820918141003
scene4,30.0,6,78783,0.22956682412437232,0.2747,1.7889975686248853,0.001278097066311527,0.6681263227043284,0.000109,2.900000000000169,0.0002992232396410923
scene4,50.0,5,78882,0.37531979976976376,0.3274,1.7337459697603868,0.00202390258019203,1.0917133829676016,0.000109,2.900000000000169,0.0006091648607450255
scene4,50.0,3,78880,0.3887213851907892,0.3274,1.6990955475078326,0.002056756039488902,1.1320600748812968,0.000109,2.900000000000169,0.0006286648519742071
scene4,50.0,2,78879,0.393634307890144,0.3274,1.6708141086295345,0.00204349901336778,1.1438018461434027,0.000109,2.900000000000169,0.0006242033266934295
scene_wheel,10.0,6,78983,0.13017238982948012,0.1432,1.1418412192039535,0.00038833682653980045,0.38097147648984675,9.1e-05,2.900000000000169,4.946108831864746e-05
scene_wheel,10.0,4,78981,0.12967925906201042,0.1432,1.1365178378593244,0.00038472249353974325,0.3791935336621518,9.1e-05,2.900000000000169,4.986428019459158e-05
scene_wheel,10.0,2,78979,0.12843192119109584,0.1432,1.1446796489232172,0.0003837116242559682,0.3755005648973383,9.1e-05,2.900000000000169,5.070428435682068e-05
scene_wheel,20.0,3,79080,0.2985508223422902,0.3058,1.2069600569287147,0.0009371717660347505,0.86979298101869,9.1e-05,2.900000000000169,0.000130802483957551
scene_wheel,20.0,7,79084,0.2943296209657334,0.3058,1.2359005362335918,0.0009457891859265731,0.8572360444353553,9.1e-05,2.900000000000169,0.00012898814451307248
scene_wheel,20.0,0,79077,0.29120804326741156,0.3058,1.256047011712052,0.0009511290293440841,0.8482485826236542,9.1e-05,2.900000000000169,0.00012888271786994947
scene_wheel,30.0,2,79179,0.46348065192673615,0.4493,1.1463013501912072,0.0013771630575775016,1.3457864787262228,9.1e-05,2.900000000000169,0.0002227029095418625
scene_wheel,30.0,9,79186,0.46716817797782917,0.4493,1.137784984397747,0.0013777156383731424,1.356403776897196,9.1e-05,2.900000000000169,0.00021803995356719057
scene_wheel,30.0,6,79183,0.4698502423896538,0.4493,1.1372347632926005,0.001384890001811956,1.3641268379165092,9.1e-05,2.900000000000169,0.00021752460058403075
