id,cost,velocity_scene4,velocity_scene2,cost_scene4,cost_scene2,sliding_friction,torsional_friction,rolling_friction,solref_timeconst,solref_dampratio,solimp_dmin,solimp_dmax,solimp_width,kp_mag
c52a78aa,0.0188418943146121,0.3466271475037657,0.15322561452622693,0.018666977435015757,0.00017491687959634452,0.3778901524713964,1e-05,0.04842629125108069,0.047307669411401104,0.1323051766675192,0.8231768386724867,0.9799625497984625,0.005120206179933995,3.718119283689441e-07
40d57acf,0.019135295302369633,0.34833003540756347,0.13968918411901843,0.019135198695857763,9.6606511870359e-08,0.7708020568050739,1e-05,1e-05,0.028595869936005425,0.30580407067031495,0.99,0.95,0.01,1.1288817678257838e-06
445bb389,0.02003618057725233,0.34663506872046357,0.1769734847290126,0.018669142004245805,0.001367038573006526,0.002264322604171445,0.00040148594024248005,0.00020929354859996438,0.0058397249086130035,1.9002507019333472,0.8774222238400053,0.9547569779585309,0.0037617123630880513,6.027919502528094e-07
065a1027,0.02027857965592447,0.3434504073711795,0.09030524747631084,0.01780901122753376,0.002469568428390711,0.004032804318560143,0.1,0.1,0.03240415713262554,0.472091840389401,0.99,0.9694785174625612,0.0016904579877782015,5.546909951800067e-07
c31e802c,0.02073954826535757,0.3447046290894612,0.0890666006707951,0.018145337098129318,0.002594211167228252,0.009689402408765101,0.0001901471115050058,0.022302460923481985,0.045676117129527946,0.16936521755648581,0.8522370005071507,0.9798783632603709,0.0012752356578233197,9.225757833007777e-07
400c3eb6,0.02092379189328238,0.35038234487449504,0.17487963791126157,0.019707202752461666,0.0012165891408207146,1.707013948581947e-05,0.023621021804375746,0.002191498936639122,0.005908965182700792,1.9867594056431865,0.8672350729005243,0.9549534585941409,0.000250008493414744,6.126728048537371e-07
2f023e8a,0.02094057167003637,0.3523017712079331,0.1137173520907533,0.02024979408891494,0.0006907775811214305,0.007605348505769572,0.0006004834296455277,0.008231598374866346,0.025280826330011406,0.5442500922166127,0.8098088554895733,0.9842943440353412,0.00010749535438685283,7.450139278245126e-07
e8805d8a,0.02225619810274627,0.35098924758475913,0.09123289870999347,0.019877967934516513,0.0023782301682297577,0.07894068221687889,0.0008746899152805779,0.09495109586201889,0.004665824383379567,0.6037300201319693,0.9390712668981052,0.9501884268169533,0.01,9.140240463408544e-07
b9fad4bf,0.022283776200167853,0.35879482601814966,0.15199483015287932,0.02213990024977143,0.00014387595039642255,0.050763525754525154,2.3568795963001844e-05,0.0001360943273896407,0.006872523117929321,0.8642348964076215,0.8888020936233253,0.9837923411497645,0.002108634601317408,9.277895651218025e-07
8ae93d1d,0.02337963678084987,0.3367777514434695,0.2254812173508762,0.016072598261062134,0.007307038519787736,0.0006159115805860519,0.06738438206931441,0.0003227697336096941,0.016207477126994232,0.7232693695799896,0.9775271838781574,0.9718170094194432,0.0030453001700473862,1.4613285599360174e-06
b9430036,0.02573879054959024,0.3436851516077611,0.22869650945330472,0.017871719760390068,0.00786707078920017,0.020601353704792096,0.05739788298651373,0.0072895454120745825,0.015948779128336105,0.5662004177369377,0.8743951930660467,0.9526988991656283,0.0069375274182084485,1.631466790836173e-06
22d1038f,0.027589928704369188,0.343261819393212,0.23915248961261706,0.017758712507989053,0.009831216196380133,0.32643503884138625,0.04657352974130406,1.832978086796508e-05,0.011190349401521655,1.1273802699368225,0.9643030011953346,0.9751462381352749,0.005957846700410753,2.0542833670017943e-06
d8b227c7,0.0282553267880492,0.04455973557844554,0.11025364398492919,0.027370481091873858,0.00088484569617534,0.5404227610124834,0.0026800135558226997,0.00012705645329288707,0.030331077064704164,0.4140071842197047,0.8029709172808269,0.9707466725546121,0.000616258661535373,3.8634593707206725e-07
213ee2fa,0.028283443065049287,0.058131562082582015,0.06775444214643611,0.023064022435476637,0.005219420629572649,0.012914135036321769,2.6334296001323145e-05,0.002430075472948595,0.08512001081392305,0.30629389592837886,0.858882569239535,0.999,0.005023197125119785,5.987876434071552e-07
ca26684f,0.030817976543717374,0.34563344142262725,0.2514519901642502,0.01839643043214526,0.012421546111572116,0.07453117891350085,3.28102202602971e-05,0.02502114497731434,0.013765412071087984,0.5545260039568681,0.892464585242326,0.9557449744630977,0.005175207891732021,1.8153684234387941e-06
7ed6d169,0.03100109700377437,0.03662481473840575,0.10930566600686298,0.030058954864492123,0.0009421421392822477,0.11374862249576463,1.529137101010867e-05,7.608991578257631e-05,0.030546635180678534,0.4174841383082628,0.8163871266734528,0.9707161657142281,0.00022968316012899102,3.5617877096048315e-07
3c0a77bb,0.03167483933010645,0.3509530479682741,0.24866037731648036,0.019867761731546578,0.011807077598559876,0.002052408791218281,0.02995065030192298,3.440951456055264e-05,0.016175983536793323,0.714515088021761,0.9860636223208255,0.9717651198554701,0.00755126694961991,1.4850121402509445e-06
48f0565c,0.032466461661823404,0.06036489046713039,0.039621737129448574,0.022390666004913882,0.010075795656909524,0.0015984428010349372,2.4079111954644568e-05,0.0003042797205957132,0.06721528401369714,1.365252477573244,0.9123465796644682,0.9634613678565132,0.0013258269776216494,5.832486597608721e-07
033085c8,0.03323949955479878,0.36202625539793176,0.24063556639916928,0.02311198233031718,0.010127517224481606,0.8,0.1,0.00016935263072826457,0.012606342522706246,1.1195717390036464,0.8505913366774935,0.9750441760623733,0.004664200635467449,2.0797850570247163e-06
67f4110b,0.03761630621566611,0.05157947974800655,0.0281105680649247,0.02509706123691226,0.01251924497875385,0.03874708258229692,0.0003898071337575767,0.0033936257879778613,0.06663062556408596,1.3703635963276377,0.9567749405574218,0.9632168261160714,0.01,5.575216921711503e-07
cebc6af7,0.03798479369858744,0.37236632794559227,0.2478052375724474,0.02636282445053562,0.011621969248051823,0.37723925868764596,0.1,1e-05,0.015924720499155543,0.7056300496552919,0.99,0.9718878499123283,0.004305709918292157,1.7667543717633246e-06
70857ec2,0.03847599359142613,0.3586666600366879,0.2679617825171328,0.02210177580646414,0.016374217784961995,0.00013755416980377693,0.0027344985358106976,0.004532114147402229,0.016138225457340866,0.5690381197782193,0.8773838709403757,0.9525607862439172,0.00032168721049615444,1.8205174857989797e-06
84a09ef3,0.03920999451910353,0.037021276136901156,0.04362388465082581,0.0299216389093062,0.00928835560979733,0.0005012974575139532,0.006770881967462574,0.010696372334572593,0.0869229461766321,0.45618392259830076,0.9219223523764059,0.999,0.0001269046973722033,5.722283063662807e-07
fb29f083,0.04775204225381939,0.016424002207632113,0.03860781424336208,0.03747166692131082,0.010280375332508574,0.473589436934912,0.014755842913932483,0.00017479505538422533,0.1,0.25859716862996834,0.9003409838674026,0.9503055143041441,0.007204289053335827,4.2939430378695947e-07
022befc2,0.04804324620428143,0.008690148865037625,0.05329596295269334,0.040525656163980704,0.007517590040300727,0.6620175628310577,0.0007362945281639222,0.02752717392942944,0.0683504463201902,0.9559485787421318,0.8025203426203746,0.9961678860285578,0.0013383707472536775,5.899741796710488e-07
2605a71b,0.04823181069417829,-0.0013150464734310169,0.08018560517642953,0.044654048866068316,0.003577761828109975,0.0001240386083416176,0.05692894695314062,1.786012975624411e-05,0.09258247359721435,0.368170924739202,0.8005897544069827,0.9800836489603977,0.008350922754761705,4.250636536435229e-07
6985dbf2,0.04862514561260183,0.014434777723775754,0.038120711385223986,0.038245756163949,0.010379389448652831,0.003097708764717408,0.03742857993934825,9.19408186610196e-05,0.1,0.24811185824001142,0.8827936715681484,0.9502966580353744,0.00507643241292102,4.291170143181312e-07
910dc1e3,0.0488184761590448,0.017157900872985122,0.032155663276501295,0.037188075195713426,0.011630400963331374,2.229363148914475e-05,0.006622623009461862,0.02479531502721272,0.046022355097747734,0.9828730147670626,0.8202622202148763,0.9777607604051421,0.0004432990333794235,4.841595980370404e-07
fe80f8c7,0.05199895857673476,0.003991357313830863,0.04222782750016726,0.04243956086139771,0.00955939771533705,0.0013548791057531688,0.1,0.0010790524141797984,0.023633273029815934,1.1464519555515738,0.872255592231176,0.9760865898311795,0.003500167149072298,4.705513849457121e-07
